Week,rossmann,dm
2013-01-06 - 2013-01-12,42,53
2013-01-13 - 2013-01-19,34,50
2013-01-20 - 2013-01-26,38,56
2013-01-27 - 2013-02-02,34,54
2013-02-03 - 2013-02-09,38,52
2013-02-10 - 2013-02-16,34,53
2013-02-17 - 2013-02-23,40,52
2013-02-24 - 2013-03-02,34,54
2013-03-03 - 2013-03-09,38,52
2013-03-10 - 2013-03-16,35,51
2013-03-17 - 2013-03-23,42,54
2013-03-24 - 2013-03-30,40,56
2013-03-31 - 2013-04-06,37,55
2013-04-07 - 2013-04-13,40,54
2013-04-14 - 2013-04-20,34,60
2013-04-21 - 2013-04-27,41,57
2013-04-28 - 2013-05-04,36,57
2013-05-05 - 2013-05-11,37,59
2013-05-12 - 2013-05-18,41,56
2013-05-19 - 2013-05-25,36,55
2013-05-26 - 2013-06-01,43,56
2013-06-02 - 2013-06-08,37,53
2013-06-09 - 2013-06-15,38,57
2013-06-16 - 2013-06-22,44,57
2013-06-23 - 2013-06-29,39,59
2013-06-30 - 2013-07-06,44,60
2013-07-07 - 2013-07-13,38,60
2013-07-14 - 2013-07-20,46,62
2013-07-21 - 2013-07-27,40,62
2013-07-28 - 2013-08-03,48,62
2013-08-04 - 2013-08-10,41,62
2013-08-11 - 2013-08-17,47,62
2013-08-18 - 2013-08-24,42,61
2013-08-25 - 2013-08-31,48,63
2013-09-01 - 2013-09-07,38,59
2013-09-08 - 2013-09-14,43,60
2013-09-15 - 2013-09-21,35,56
2013-09-22 - 2013-09-28,42,55
2013-09-29 - 2013-10-05,36,58
2013-10-06 - 2013-10-12,42,57
2013-10-13 - 2013-10-19,38,59
2013-10-20 - 2013-10-26,42,59
2013-10-27 - 2013-11-02,39,59
2013-11-03 - 2013-11-09,45,59
2013-11-10 - 2013-11-16,38,62
2013-11-17 - 2013-11-23,47,67
2013-11-24 - 2013-11-30,45,67
2013-12-01 - 2013-12-07,50,75
2013-12-08 - 2013-12-14,52,93
2013-12-15 - 2013-12-21,64,90
2013-12-22 - 2013-12-28,42,70
2013-12-29 - 2014-01-04,44,63
2014-01-05 - 2014-01-11,46,58
2014-01-12 - 2014-01-18,37,61
2014-01-19 - 2014-01-25,44,58
2014-01-26 - 2014-02-01,38,57
2014-02-02 - 2014-02-08,45,59
2014-02-09 - 2014-02-15,38,58
2014-02-16 - 2014-02-22,46,58
2014-02-23 - 2014-03-01,37,57
2014-03-02 - 2014-03-08,45,58
2014-03-09 - 2014-03-15,36,57
2014-03-16 - 2014-03-22,46,56
2014-03-23 - 2014-03-29,38,59
2014-03-30 - 2014-04-05,43,57
2014-04-06 - 2014-04-12,39,60
2014-04-13 - 2014-04-19,46,66
2014-04-20 - 2014-04-26,38,59
2014-04-27 - 2014-05-03,49,64
2014-05-04 - 2014-05-10,46,65
2014-05-11 - 2014-05-17,41,65
2014-05-18 - 2014-05-24,48,62
2014-05-25 - 2014-05-31,39,62
2014-06-01 - 2014-06-07,47,63
2014-06-08 - 2014-06-14,40,61
2014-06-15 - 2014-06-21,49,62
2014-06-22 - 2014-06-28,40,64
2014-06-29 - 2014-07-05,51,66
2014-07-06 - 2014-07-12,42,66
2014-07-13 - 2014-07-19,49,69
2014-07-20 - 2014-07-26,43,72
2014-07-27 - 2014-08-02,52,73
2014-08-03 - 2014-08-09,50,71
2014-08-10 - 2014-08-16,48,71
2014-08-17 - 2014-08-23,53,71
2014-08-24 - 2014-08-30,44,68
2014-08-31 - 2014-09-06,51,67
2014-09-07 - 2014-09-13,42,67
2014-09-14 - 2014-09-20,47,65
2014-09-21 - 2014-09-27,39,64
2014-09-28 - 2014-10-04,47,67
2014-10-05 - 2014-10-11,47,68
2014-10-12 - 2014-10-18,43,72
2014-10-19 - 2014-10-25,48,66
2014-10-26 - 2014-11-01,43,67
2014-11-02 - 2014-11-08,49,69
2014-11-09 - 2014-11-15,48,71
2014-11-16 - 2014-11-22,47,74
2014-11-23 - 2014-11-29,57,77
2014-11-30 - 2014-12-06,60,85
2014-12-07 - 2014-12-13,58,94
2014-12-14 - 2014-12-20,66,100
2014-12-21 - 2014-12-27,53,84
2014-12-28 - 2015-01-03,49,73
2015-01-04 - 2015-01-10,50,67
2015-01-11 - 2015-01-17,44,69
2015-01-18 - 2015-01-24,42,68
2015-01-25 - 2015-01-31,50,69
2015-02-01 - 2015-02-07,47,66
2015-02-08 - 2015-02-14,45,68
2015-02-15 - 2015-02-21,50,69
2015-02-22 - 2015-02-28,42,67
2015-03-01 - 2015-03-07,48,67
2015-03-08 - 2015-03-14,43,67
2015-03-15 - 2015-03-21,49,65
2015-03-22 - 2015-03-28,42,65
2015-03-29 - 2015-04-04,51,70
2015-04-05 - 2015-04-11,45,70
2015-04-12 - 2015-04-18,48,69
2015-04-19 - 2015-04-25,43,68
2015-04-26 - 2015-05-02,51,68
2015-05-03 - 2015-05-09,50,74
2015-05-10 - 2015-05-16,44,70
2015-05-17 - 2015-05-23,51,70
2015-05-24 - 2015-05-30,45,71
2015-05-31 - 2015-06-06,52,74
2015-06-07 - 2015-06-13,45,71
2015-06-14 - 2015-06-20,53,74
2015-06-21 - 2015-06-27,47,76
2015-06-28 - 2015-07-04,57,74
2015-07-05 - 2015-07-11,49,73
2015-07-12 - 2015-07-18,57,81
2015-07-19 - 2015-07-25,47,79
2015-07-26 - 2015-08-01,58,80
2015-08-02 - 2015-08-08,54,80
2015-08-09 - 2015-08-15,50,78
2015-08-16 - 2015-08-22,56,78
2015-08-23 - 2015-08-29,48,80
2015-08-30 - 2015-09-05,54,81
2015-09-06 - 2015-09-12,48,79
2015-09-13 - 2015-09-19,52,76
2015-09-20 - 2015-09-26,44,75
2015-09-27 - 2015-10-03,49,73
2015-10-04 - 2015-10-10,52,80
2015-10-11 - 2015-10-17,48,84
2015-10-18 - 2015-10-24,56,79
2015-10-25 - 2015-10-31,49,82