Week,"offnungszeiten"
2012-12-02 - 2012-12-08,26
2012-12-09 - 2012-12-15,21
2012-12-16 - 2012-12-22,44
2012-12-23 - 2012-12-29,55
2012-12-30 - 2013-01-05,35
2013-01-06 - 2013-01-12,23
2013-01-13 - 2013-01-19,20
2013-01-20 - 2013-01-26,25
2013-01-27 - 2013-02-02,20
2013-02-03 - 2013-02-09,23
2013-02-10 - 2013-02-16,25
2013-02-17 - 2013-02-23,23
2013-02-24 - 2013-03-02,21
2013-03-03 - 2013-03-09,25
2013-03-10 - 2013-03-16,19
2013-03-17 - 2013-03-23,20
2013-03-24 - 2013-03-30,37
2013-03-31 - 2013-04-06,23
2013-04-07 - 2013-04-13,26
2013-04-14 - 2013-04-20,24
2013-04-21 - 2013-04-27,28
2013-04-28 - 2013-05-04,28
2013-05-05 - 2013-05-11,31
2013-05-12 - 2013-05-18,27
2013-05-19 - 2013-05-25,20
2013-05-26 - 2013-06-01,31
2013-06-02 - 2013-06-08,26
2013-06-09 - 2013-06-15,27
2013-06-16 - 2013-06-22,30
2013-06-23 - 2013-06-29,29
2013-06-30 - 2013-07-06,33
2013-07-07 - 2013-07-13,31
2013-07-14 - 2013-07-20,36
2013-07-21 - 2013-07-27,32
2013-07-28 - 2013-08-03,38
2013-08-04 - 2013-08-10,33
2013-08-11 - 2013-08-17,34
2013-08-18 - 2013-08-24,27
2013-08-25 - 2013-08-31,37
2013-09-01 - 2013-09-07,30
2013-09-08 - 2013-09-14,32
2013-09-15 - 2013-09-21,24
2013-09-22 - 2013-09-28,29
2013-09-29 - 2013-10-05,33
2013-10-06 - 2013-10-12,32
2013-10-13 - 2013-10-19,26
2013-10-20 - 2013-10-26,29
2013-10-27 - 2013-11-02,34
2013-11-03 - 2013-11-09,30
2013-11-10 - 2013-11-16,24
2013-11-17 - 2013-11-23,30
2013-11-24 - 2013-11-30,26
2013-12-01 - 2013-12-07,31
2013-12-08 - 2013-12-14,23
2013-12-15 - 2013-12-21,59
2013-12-22 - 2013-12-28,74
2013-12-29 - 2014-01-04,46
2014-01-05 - 2014-01-11,36
2014-01-12 - 2014-01-18,32
2014-01-19 - 2014-01-25,26
2014-01-26 - 2014-02-01,28
2014-02-02 - 2014-02-08,29
2014-02-09 - 2014-02-15,28
2014-02-16 - 2014-02-22,35
2014-02-23 - 2014-03-01,34
2014-03-02 - 2014-03-08,37
2014-03-09 - 2014-03-15,30
2014-03-16 - 2014-03-22,39
2014-03-23 - 2014-03-29,34
2014-03-30 - 2014-04-05,35
2014-04-06 - 2014-04-12,34
2014-04-13 - 2014-04-19,45
2014-04-20 - 2014-04-26,30
2014-04-27 - 2014-05-03,39
2014-05-04 - 2014-05-10,43
2014-05-11 - 2014-05-17,34
2014-05-18 - 2014-05-24,40
2014-05-25 - 2014-05-31,34
2014-06-01 - 2014-06-07,39
2014-06-08 - 2014-06-14,30
2014-06-15 - 2014-06-21,47
2014-06-22 - 2014-06-28,32
2014-06-29 - 2014-07-05,48
2014-07-06 - 2014-07-12,37
2014-07-13 - 2014-07-19,43
2014-07-20 - 2014-07-26,33
2014-07-27 - 2014-08-02,49
2014-08-03 - 2014-08-09,48
2014-08-10 - 2014-08-16,41
2014-08-17 - 2014-08-23,44
2014-08-24 - 2014-08-30,37
2014-08-31 - 2014-09-06,46
2014-09-07 - 2014-09-13,37
2014-09-14 - 2014-09-20,40
2014-09-21 - 2014-09-27,30
2014-09-28 - 2014-10-04,49
2014-10-05 - 2014-10-11,37
2014-10-12 - 2014-10-18,36
2014-10-19 - 2014-10-25,42
2014-10-26 - 2014-11-01,34
2014-11-02 - 2014-11-08,36
2014-11-09 - 2014-11-15,38
2014-11-16 - 2014-11-22,34
2014-11-23 - 2014-11-29,43
2014-11-30 - 2014-12-06,49
2014-12-07 - 2014-12-13,38
2014-12-14 - 2014-12-20,65
2014-12-21 - 2014-12-27,100
2014-12-28 - 2015-01-03,71
2015-01-04 - 2015-01-10,39
2015-01-11 - 2015-01-17,40
2015-01-18 - 2015-01-24,31
2015-01-25 - 2015-01-31,43
2015-02-01 - 2015-02-07,37
2015-02-08 - 2015-02-14,37
2015-02-15 - 2015-02-21,47
2015-02-22 - 2015-02-28,35
2015-03-01 - 2015-03-07,49
2015-03-08 - 2015-03-14,40
2015-03-15 - 2015-03-21,46
2015-03-22 - 2015-03-28,40
2015-03-29 - 2015-04-04,61
2015-04-05 - 2015-04-11,39
2015-04-12 - 2015-04-18,50
2015-04-19 - 2015-04-25,33
2015-04-26 - 2015-05-02,52
2015-05-03 - 2015-05-09,49
2015-05-10 - 2015-05-16,45
2015-05-17 - 2015-05-23,49
2015-05-24 - 2015-05-30,44
2015-05-31 - 2015-06-06,54
2015-06-07 - 2015-06-13,41
2015-06-14 - 2015-06-20,53
2015-06-21 - 2015-06-27,44
2015-06-28 - 2015-07-04,71
2015-07-05 - 2015-07-11,53
2015-07-12 - 2015-07-18,59
2015-07-19 - 2015-07-25,44
2015-07-26 - 2015-08-01,60
2015-08-02 - 2015-08-08,59
2015-08-09 - 2015-08-15,53
2015-08-16 - 2015-08-22,49
2015-08-23 - 2015-08-29,46
2015-08-30 - 2015-09-05,63
2015-09-06 - 2015-09-12,47
2015-09-13 - 2015-09-19,53
2015-09-20 - 2015-09-26,45
2015-09-27 - 2015-10-03,41
2015-10-04 - 2015-10-10,55
2015-10-11 - 2015-10-17,44
2015-10-18 - 2015-10-24,47
2015-10-25 - 2015-10-31,39